event_id,user_id,session_id,event_name,event_timestamp,product_id,platform
1,335,S00001,Homepage_View,2024-08-30 00:04:00,,iOS App
2,335,S00001,product_view,2024-08-30 00:27:00,1045.0,iOS App
3,5,S00002,HOMEPAGE_VIEW,2023-10-17 09:04:00,,Android App
4,215,S00003,homepage_view,2023-09-06 03:20:00,,Web
5,215,S00003,product_view,2023-09-06 03:40:00,1047.0,Web
6,499,S00004,Homepage_View,2023-04-01 06:14:00,,Android App
7,353,S00005,homepage_view,2024-03-16 15:01:00,,Android App
8,343,S00006,HOMEPAGE_VIEW,2023-06-15 15:25:00,,iOS App
9,330,S00007,Homepage_View,2023-10-21 07:09:00,,Android App
10,437,S00008,Homepage_View,08-05-2024 09:11,,Android App
11,24,S00009,homepage_view,2023-03-22 00:21:00,,iOS App
12,138,S00010,homepage_view,2024-11-29 23:11:00,,iOS App
13,138,S00010,Product_View,2024-11-29 23:24:00,1024.0,iOS App
14,409,S00011,HOMEPAGE_VIEW,2023-04-08 05:23:00,,iOS App
15,409,S00011,Product_View,2023-04-08 05:37:00,1009.0,iOS App
16,93,S00012,HOMEPAGE_VIEW,2025-01-12 23:01:00,,Android App
17,248,S00013,homepage_view,2023-09-02 15:15:00,,iOS App
18,248,S00013,product_view,2023-09-02 15:37:00,1027.0,iOS App
19,174,S00014,HOMEPAGE_VIEW,2023-02-22 16:23:00,,Web
20,174,S00014,Product_View,2023-02-22 16:35:00,1045.0,Web
21,457,S00015,homepage_view,2023-04-13 19:21:00,,iOS App
22,457,S00015,product_view,2023-04-13 19:27:00,1001.0,iOS App
23,457,S00015,Add_To_Cart,2023-04-13 19:38:00,,iOS App
24,207,S00016,HOMEPAGE_VIEW,2023-02-14 07:15:00,,iOS App
25,207,S00016,Product_View,2023-02-14 07:19:00,1030.0,iOS App
26,207,S00016,Add_To_Cart,2023-02-14 07:32:00,,iOS App
27,406,S00017,HOMEPAGE_VIEW,2023-02-24 19:10:00,,Web
28,406,S00017,Product_View,2023-02-24 19:21:00,1041.0,Web
29,433,S00018,HOMEPAGE_VIEW,2025-01-01 14:25:00,,Android App
30,433,S00018,product_view,01-01-2025 14:40,1036.0,Android App
31,2,S00019,HOMEPAGE_VIEW,2023-04-06 10:10:00,,Android App
32,2,S00019,Product_View,2023-04-06 10:16:00,1041.0,Android App
33,370,S00020,homepage_view,2024-05-14 13:20:00,,iOS App
34,370,S00020,product_view,2024-05-14 13:35:00,1017.0,iOS App
35,370,S00020,add_to_cart,2024-05-14 13:49:00,1017.0,iOS App
36,396,S00021,HOMEPAGE_VIEW,2023-10-29 14:19:00,,Android App
37,396,S00021,Product_View,2023-10-29 14:21:00,1043.0,Android App
38,261,S00022,HOMEPAGE_VIEW,2024-01-28 05:06:00,,Web
39,311,S00023,HOMEPAGE_VIEW,2023-08-01 10:14:00,1025.0,Web
40,311,S00023,Product_View,2023-08-01 10:25:00,1025.0,Web
41,311,S00023,ADD_TO_CART,2023-08-01 10:39:00,1025.0,Web
42,311,S00023,Checkout_Start,2023-08-01 11:02:00,1025.0,Web
43,324,S00024,HOMEPAGE_VIEW,2023-11-10 06:20:00,,iOS App
44,364,S00025,HOMEPAGE_VIEW,2024-01-04 20:18:00,,iOS App
45,288,S00026,HOMEPAGE_VIEW,2023-10-07 15:22:00,,Web
46,147,S00027,homepage_view,13-05-2024 13:04,,iOS App
47,147,S00027,product_view,2024-05-13 13:13:00,1034.0,iOS App
48,75,S00028,HOMEPAGE_VIEW,2023-08-08 01:07:00,,Web
